DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/1/17,0:00,BRONX,10460,40.835705,-73.88875,"(40.835705, -73.88875)",SOUTHERN BOULEVARD              ,EAST 173 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3781550,PASSENGER VEHICLE,BU,,,
11/1/17,0:00,BROOKLYN,11212,40.65621,-73.914665,"(40.65621, -73.914665)",ROCKAWAY PARKWAY                ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781477,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,0:00,MANHATTAN,10025,40.79525,-73.97321,"(40.79525, -73.97321)",WEST END AVENUE                 ,WEST 96 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Headlights Defective,,,,3782370,SPORT UTILITY / STATION WAGON,BICYCLE,,,
11/1/17,0:00,MANHATTAN,10033,40.84817,-73.93315,"(40.84817, -73.93315)",,,541       WEST 180 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3781300,PASSENGER VEHICLE,,,,
11/1/17,0:00,MANHATTAN,10034,40.866856,-73.92354,"(40.866856, -73.92354)",,,4874      BROADWAY                      ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3782021,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,0:00,QUEENS,11385,40.69783,-73.88871,"(40.69783, -73.88871)",,,65-21     78 AVENUE                     ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3782041,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:00,,,,,,CROSS BRONX EXPWY SERVICE ROAD  ,ROSEDALE AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781161,PASSENGER VEHICLE,PICK-UP TRUCK,,,
11/1/17,0:00,,,,,,CROSS BRONX EXPWY SERVICE ROAD  ,WHITE PLAINS ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781384,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:00,,,40.788532,-73.95322,"(40.788532, -73.95322)",EAST 98 STREET                  ,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3784899,TK,PASSENGER VEHICLE,,,
11/1/17,0:00,,,40.669094,-73.89711,"(40.669094, -73.89711)",GEORGIA AVENUE                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781232,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,0:00,,,40.624958,-74.145775,"(40.624958, -74.145775)",RICHMOND AVENUE                 ,FOREST AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3782122,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,0:00,,,40.724365,-73.75502,"(40.724365, -73.75502)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Driver Inattention/Distraction,,,,3780863,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:00,QUEENS,11413,40.67243,-73.75637,"(40.67243, -73.75637)",SPRINGFIELD BOULEVARD           ,140 AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,,,,3781519,PASSENGER VEHICLE,PICK-UP TRUCK,,,
11/1/17,0:00,,,40.828697,-73.89872,"(40.828697, -73.89872)",EAST 168 STREET                 ,,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Unspecified,,,,3781552,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/1/17,0:05,BROOKLYN,11210,40.63458,-73.950806,"(40.63458, -73.950806)",,,67        KENILWORTH PLACE              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781053,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,0:05,BROOKLYN,11218,40.652786,-73.97807,"(40.652786, -73.97807)",VANDERBILT STREET               ,19 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780823,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:06,,,40.69832,-73.962265,"(40.69832, -73.962265)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3784901,PASSENGER VEHICLE,,,,
11/1/17,0:10,QUEENS,11368,40.744392,-73.85889,"(40.744392, -73.85889)",104 STREET                      ,49 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780954,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:22,,,40.798256,-73.92402,"(40.798256, -73.92402)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3781369,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,0:23,BRONX,10466,40.89466,-73.86137,"(40.89466, -73.86137)",EAST 233 STREET                 ,BRONX BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3780976,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,0:30,,,40.845104,-73.91494,"(40.845104, -73.91494)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781069,TK,PASSENGER VEHICLE,,,
11/1/17,0:35,MANHATTAN,10036,40.754936,-73.98404,"(40.754936, -73.98404)",,,1100      AVENUE OF THE AMERICAS        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780991,TAXI,TAXI,,,
11/1/17,0:36,,,40.650208,-73.959984,"(40.650208, -73.959984)",EAST 21 STREET                  ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,,,,,3781068,SPORT UTILITY / STATION WAGON,,,,
